Created Date,Account Record Type,Membership Category,Membership Status,Member Type,Person Account: State/Province,Person Account: Country,Transaction Date,Total Payment,Unit Price,Order Id,Product: Product Name,Product: Record Type
2017-04-06,Individual,Individual,Grace,Professional,NC,United States,2021-08-27,3195,0,Order 0893265,Professional,Membership
2017-04-07,Individual,Individual,Current,Professional,Tokyo,Japan,2019-10-25,695,0,Order 0417479,Professional,Membership
2016-07-06,Individual,Individual,Expired,Professional,VA,United States,2018-12-12,10,0,Order 0282959,Professional,Membership
2016-09-21,Individual,Individual,Expired,Professional,"",South Africa,2018-10-09,20,0,Order 0260353,Professional,Membership
2016-07-08,Individual,Individual,Current,Professional,London,United Kingdom,2017-07-27,250,0,Order 0124717,Professional,Membership
2018-09-07,Individual,Individual,Current,Professional,GA,United States,2019-08-31,275,0,Order 0390997,Professional,Membership
2018-09-23,Individual,Individual,Expired,Professional,"",United States,2018-09-25,300,0,Order 0255192,Professional,Membership
2018-12-27,Individual,Individual,Current,Professional,Zhejiang,China,2019-11-12,395,0,Order 0428614,Professional,Membership
2018-11-19,Individual,Individual,Expired,Professional,Surrey,United Kingdom,2018-11-19,648.72,0,Order 0274093,Professional,Membership
2018-09-13,Individual,Individual,Expired,Professional,Surrey,United Kingdom,2019-12-09,695,0,Order 0441389,Professional,Membership
2019-01-15,Individual,Individual,Current,Higher Education,"",Netherlands,2019-12-14,695,0,Order 0443724,Professional,Membership
2016-10-03,Individual,Individual,Current,Professional,CA,United States,2019-12-14,695,0,Order 0443811,Professional,Membership
2018-10-12,Individual,Individual,Grace,Professional,WA,United States,2020-12-02,695,0,Order 0668899,Professional,Membership
2016-10-29,Individual,Individual,Current,Professional,DC,United States,2021-02-15,695,0,Order 0711906,Professional,Membership
2018-10-26,Individual,Individual,Current,Professional,MD,United States,2021-08-24,695,0,Order 0887030,Professional,Membership
2018-09-28,Individual,Individual,Expired,Professional,"",Sweden,2018-09-28,820,0,Order 0256659,Professional,Membership
2016-08-18,Individual,Individual,Current,Professional,"",United States,2018-05-15,962.8,0,Order 0213382,Professional,Membership
2018-11-12,Individual,Individual,Expired,Professional,"",Switzerland,2018-12-15,962.8,0,Order 0283649,Professional,Membership
2019-01-15,Individual,Individual,Expired,Professional,CA,United States,2019-01-17,962.8,0,Order 0297716,Professional,Membership
2018-11-23,Individual,Individual,Future,Professional,"",Switzerland,2021-02-04,962.8,0,Order 0705960,Professional,Membership
2018-10-10,Individual,Individual,Expired,Professional,West Yorkshire,United Kingdom,2021-03-11,962.8,0,Order 0726990,Professional,Membership
2018-09-28,Individual,Individual,Current,Professional,"",Sweden,2021-04-22,962.8,0,Order 0756069,Professional,Membership
2018-09-17,Individual,Individual,Current,Professional,"",Sweden,2021-08-18,962.8,0,Order 0877186,Professional,Membership
2019-01-07,Individual,Individual,Current,Professional,GA,United States,2021-09-22,962.8,0,Order 0945374,Professional,Membership
2018-10-29,Individual,Individual,Expired,Professional,"",Switzerland,2018-10-30,982.8,0,Order 0267149,Professional,Membership
2019-01-10,Individual,Individual,Current,Professional,"",Germany,2021-05-19,1195,0,Order 0777610,Professional,Membership
2016-09-15,Individual,Individual,Current,Professional,East Sussex,United Kingdom,2017-04-24,1400,0,Order 0106075,Professional,Membership
2016-07-06,Individual,Individual,Current,Professional,"",Portugal,2017-02-22,1495,0,Order 0089284,Professional,Membership
2016-09-16,Individual,Individual,Current,Professional,"",United Kingdom,2018-01-02,1495,0,Order 0169212,Professional,Membership
2016-09-29,Individual,Individual,Current,Professional,Madrid,Spain,2018-02-21,1495,0,Order 0184484,Professional,Membership
2016-10-07,Individual,Individual,Current,Professional,Ontario,Canada,2018-04-10,1495,0,Order 0203422,Professional,Membership
2016-08-18,Individual,Individual,Current,Professional,"",United States,2018-05-14,1495,0,Order 0212821,Professional,Membership
2016-08-18,Individual,Individual,Current,Professional,"",United States,2018-05-15,1495,0,Order 0213380,Professional,Membership
2016-10-28,Individual,Individual,Current,Professional,Surrey,United Kingdom,2018-06-13,1495,0,Order 0221231,Professional,Membership
2016-09-13,Individual,Individual,Current,Not-For-Profit,MA,United States,2018-06-20,1495,0,Order 0223068,Professional,Membership
2016-09-30,Individual,Individual,Current,Government,Alberta,Canada,2018-07-18,1495,0,Order 0231910,Professional,Membership
2016-10-21,Individual,Individual,Current,Professional,VA,United States,2018-08-27,1495,0,Order 0243594,Professional,Membership
2018-09-04,Individual,Individual,Future,Professional,IA,United States,2018-09-04,1495,0,Order 0246543,Professional,Membership
2018-09-06,Individual,Individual,Expired,Professional,"",Netherlands,2018-09-06,1495,0,Order 0247245,Professional,Membership
2018-09-07,Individual,Individual,Current,Professional,TX,United States,2018-09-07,1495,0,Order 0248061,Professional,Membership
2018-09-07,Individual,Individual,Expired,Professional,Bavaria,Germany,2018-09-08,1495,0,Order 0248114,Professional,Membership
2018-09-07,Individual,Individual,Expired,Individual Green Membership,"",Belgium,2018-09-10,1495,0,Order 0248265,Professional,Membership
2018-09-08,Individual,Individual,Expired,Professional,"",Netherlands,2018-09-10,1495,0,Order 0248318,Professional,Membership
