Created Date,Account Record Type,Membership Category,Membership Status,Member Type,Person Account: State/Province,Person Account: Country,Transaction Date,Total Payment,Unit Price,Order Id,Product: Product Name,Product: Record Type
2017-04-06,Individual,Individual,Expired,Professional,NJ,United States,2017-04-06,0,50,Order 0102233,Student,Membership
2017-04-06,Individual,Individual,Grace,Student,GA,United States,2020-03-31,0,100,Order 0507829,Higher Education,Membership
2017-04-07,Individual,Individual,Expired,Professional,"",South Africa,2019-03-26,0,275,Order 0327254,Professional,Membership
2017-04-07,Individual,Individual,Expired,Professional,"","",2017-04-07,0,250,Order 0102746,Professional,Membership
2016-02-22,Individual,Individual,Current,Professional,CA,United States,2019-01-28,0,45.83,Order 0302297,Professional,Membership
2016-01-19,Individual,Individual,Expired,Professional,CT,United States,2016-01-19,0,50,Order 0020802,Student,Membership
2016-01-12,Individual,Individual,Current,Government,VA,United States,2016-02-14,0,50,Order 0024967,Student,Membership
2016-02-18,Individual,Individual,Expired,Professional,FL,United States,2016-02-18,0,50,Order 0025604,Student,Membership
2016-02-21,Individual,Individual,Expired,Government,MD,United States,2016-02-21,0,50,Order 0025851,Student,Membership
2016-03-04,Individual,Individual,Current,Professional,CA,United States,2016-03-04,0,50,Order 0028143,Student,Membership
2017-05-16,Individual,Individual,Expired,Professional,"","",2017-05-16,0,50,Order 0110474,Student,Membership
2017-05-21,Individual,Individual,Expired,Student,Alberta,Canada,2017-05-21,0,50,Order 0111492,Student,Membership
2017-05-25,Individual,Individual,Current,Professional,MA,United States,2017-05-25,0,50,Order 0112269,Student,Membership
2017-06-22,Individual,Individual,Expired,Transitional,"",Germany,2017-06-25,0,50,Order 0118618,Student,Membership
2017-09-29,Individual,Individual,Current,Government,"",Belgium,2017-06-27,0,50,Order 0119251,Student,Membership
2017-07-12,Individual,Individual,Expired,Student,"",United Kingdom,2017-07-12,0,50,Order 0122067,Student,Membership
2017-07-27,Individual,Individual,Current,Professional,"",Indonesia,2017-08-14,0,50,Order 0128128,Student,Membership
2017-08-17,Individual,Individual,Grace,Professional,IL,United States,2017-08-17,0,50,Order 0129246,Student,Membership
2017-09-13,Individual,Individual,Current,Government,Alberta,Canada,2017-09-13,0,50,Order 0136286,Student,Membership
2017-09-14,Individual,Individual,Current,Professional,CA,United States,2017-09-14,0,50,Order 0136740,Student,Membership
2017-09-02,Individual,Individual,Current,Professional,CA,United States,2017-09-15,0,50,Order 0137137,Student,Membership
2017-09-29,Individual,Individual,Current,Professional,"",Netherlands,2017-09-29,0,50,Order 0140732,Student,Membership
2017-09-18,Individual,Individual,Expired,Retired,"",United States,2017-10-01,0,50,Order 0141098,Student,Membership
2017-10-03,Individual,Individual,Expired,Student,"",Ireland,2017-10-03,0,50,Order 0141764,Student,Membership
2016-02-08,Individual,Individual,Current,Professional,New South Wales,Australia,2017-11-04,0,50,Order 0149733,Student,Membership
2016-02-05,Individual,Individual,Expired,Professional,TN,United States,2017-12-08,0,50,Order 0158695,Student,Membership
2017-07-17,Individual,Individual,Expired,Higher Education,"","",2017-12-20,0,50,Order 0161495,Student,Membership
2018-01-02,Individual,Individual,Current,Professional,"",United States,2018-01-02,0,50,Order 0163478,Student,Membership
2017-06-22,Individual,Individual,Expired,Student,IL,United States,2018-01-21,0,50,Order 0171953,Student,Membership
2017-04-26,Individual,Individual,Expired,Student,MD,United States,2018-03-02,0,50,Order 0188122,Student,Membership
2017-05-13,Individual,Individual,Current,Government,TN,United States,2018-04-26,0,50,Order 0208671,Student,Membership
2017-05-20,Individual,Individual,Current,Professional,FL,United States,2018-06-01,0,50,Order 0218202,Student,Membership
2017-04-25,Individual,Individual,Current,Not-For-Profit,FL,United States,2018-07-10,0,50,Order 0229411,Student,Membership
2016-02-16,Individual,Individual,Current,Professional,"",United Arab Emirates,2018-08-11,0,50,Order 0238903,Student,Membership
2017-10-05,Individual,Individual,Current,Not-For-Profit,CO,United States,2018-10-09,0,50,Order 0260311,Not-For-Profit,Membership
2017-05-22,Individual,Individual,Expired,Student,"",Israel,2018-10-09,0,50,Order 0260319,Student,Membership
2017-09-26,Individual,Individual,Expired,Higher Education,"",United States,2018-10-09,0,50,Order 0260306,Student,Membership
2017-09-15,Individual,Individual,Expired,Student,Tamil Nadu,India,2018-10-14,0,50,Order 0261919,Student,Membership
2017-09-30,Individual,Individual,Expired,Student,"",Belgium,2018-11-09,0,50,Order 0270816,Student,Membership
