Created Date,Account Record Type,Membership Category,Membership Status,Member Type,Person Account: State/Province,Person Account: Country,Transaction Date,Total Payment,Unit Price,Order Id,Product: Product Name,Product: Record Type
2017-04-06,Individual,Individual,Expired,Professional,DC,United States,2019-03-13,0,0,Order 0320462,Professional,Membership
2017-04-06,Individual,Individual,Expired,Professional,"",United Kingdom,2017-04-05,0,0,Order 0102250,Professional,Membership
2017-04-06,Individual,Individual,Expired,Professional,"",Portugal,2017-04-05,0,0,Order 0102258,Professional,Membership
2017-04-06,Individual,Individual,Current,Professional,"",Netherlands,2017-04-05,0,0,Order 0102262,Professional,Membership
2016-05-13,Individual,Individual,Expired,Professional,"","",2016-05-13,0,0,Order 0038866,Professional,Membership
2016-05-13,Individual,Individual,Current,Higher Education,PA,United States,2016-05-13,0,0,Order 0038869,Professional,Membership
2016-05-13,Individual,Individual,Expired,Government,MD,United States,2016-10-04,0,0,Order 0060089,Government,Membership
2016-05-23,Individual,Individual,Current,Professional,KY,United States,2016-11-07,0,0,Order 0066837,Professional,Membership
2016-05-23,Individual,Individual,Expired,Professional,"","",2017-05-02,0,0,Order 0107949,Professional,Membership
2016-05-05,Individual,Individual,Expired,Professional,CA,United States,2017-05-16,0,0,Order 0110547,Professional,Membership
2016-05-23,Individual,Individual,Expired,Professional,"",Denmark,2017-06-05,0,0,Order 0114273,Professional,Membership
2016-05-23,Individual,Individual,Grace,Not-For-Profit,CO,United States,2017-06-22,0,0,Order 0118108,Professional,Membership
2016-05-23,Individual,Individual,Grace,Professional,"",Netherlands,2017-07-06,0,0,Order 0120845,Professional,Membership
2016-05-23,Individual,Individual,Expired,Professional,Maharashtra,India,2017-07-14,0,0,Order 0122586,Professional,Membership
2016-05-03,Individual,Individual,Expired,Professional,Zürich,Switzerland,2017-07-27,0,0,Order 0124702,Professional,Membership
2016-05-23,Individual,Individual,Expired,Professional,"","",2017-07-31,0,0,Order 0125464,Professional,Membership
2016-05-19,Individual,Individual,Current,Professional,"",Finland,2017-08-23,0,0,Order 0130678,Professional,Membership
2016-05-23,Individual,Individual,Expired,Professional,"",Hungary,2017-10-19,0,0,Order 0145901,Professional,Membership
2016-04-25,Individual,Individual,Current,Professional,NY,United States,2017-11-10,0,0,Order 0151399,Professional,Membership
2018-03-16,Individual,Individual,Current,Professional,Ontario,Canada,2017-11-20,0,0,Order 0153961,Professional,Membership
